one,timestamp,line,car1,car2,car3,car4,car5,car6,plattform,destination
1,21.06.2018 04:46,S12,54,92,97,16,85,46
1,21.06.2018 05:09,S9,58,29,38,80,33,99
1,21.06.2018 05:31,S3,108,76,62,76,57,97
1,21.06.2018 05:36,S7,41,32,42,27,16,63
1,21.06.2018 05:41,S5,11,85,82,70,86,26
1,21.06.2018 05:41,S12,86,49,44,93,91,57
1,21.06.2018 05:44,S6,23,57,61,27,40,10
1,21.06.2018 05:46,S12,38,101,38,78,52,97
1,21.06.2018 05:47,S5,20,73,88,102,55,19
1,21.06.2018 05:48,S16,98,78,104,75,103,42
1,21.06.2018 05:49,S9,28,107,69,78,27,72
1,21.06.2018 05:51,S7,100,92,103,37,15,75
1,21.06.2018 05:56,S3,57,46,61,20,23,20
1,21.06.2018 06:01,S3,47,44,78,27,94,39
1,21.06.2018 06:03,S6,68,46,73,61,42,16
1,21.06.2018 06:03,S15,33,78,58,87,64,29
1,21.06.2018 06:06,S7,54,62,73,99,57,105
1,21.06.2018 06:09,S9,65,109,18,38,82,97
1,21.06.2018 06:09,S16,43,84,32,23,95,30
1,21.06.2018 06:11,S5,15,17,74,40,58,23
1,21.06.2018 06:11,S12,41,53,88,14,102,26
1,21.06.2018 06:16,S12,53,22,66,99,95,63
1,21.06.2018 06:18,S5,45,44,105,32,96,41
1,21.06.2018 06:18,S16,79,74,51,82,45,61
1,21.06.2018 06:19,S9,100,87,50,45,34,99
1,21.06.2018 06:19,S9,85,31,50,47,87,102
1,21.06.2018 06:21,S7,13,41,13,59,26,94
1,21.06.2018 06:24,S6,15,29,72,82,65,82
1,21.06.2018 06:24,S15,95,78,84,106,74,91
1,21.06.2018 06:26,S3,83,98,96,106,22,75
1,21.06.2018 06:31,S3,106,37,30,29,13,19
1,21.06.2018 06:33,S6,110,76,104,67,15,44
1,21.06.2018 06:33,S15,100,69,13,49,90,44
1,21.06.2018 06:36,S7,32,78,22,67,80,71
1,21.06.2018 06:39,S9,55,41,27,46,109,84
1,21.06.2018 06:39,S16,10,31,65,45,42,18
1,21.06.2018 06:41,S5,75,29,62,87,89,31
1,21.06.2018 06:41,S12,56,50,80,55,25,27
1,21.06.2018 06:42,S21,32,23,63,94,60,17
1,21.06.2018 06:44,S21,11,34,62,54,107,56
1,21.06.2018 06:46,S12,33,46,90,40,38,14
1,21.06.2018 06:48,S5,66,26,58,30,56,62
1,21.06.2018 06:48,S16,99,16,48,89,37,37
1,21.06.2018 06:49,S9,79,28,100,19,66,92
1,21.06.2018 06:51,S7,41,42,67,103,49,18
1,21.06.2018 06:54,S6,11,35,75,86,44,30
1,21.06.2018 06:54,S15,79,27,25,39,48,71
1,21.06.2018 06:56,S3,44,92,36,99,57,94
1,21.06.2018 06:58,S11,70,63,81,104,106,37
1,21.06.2018 07:01,S3,35,22,31,81,27,52
1,21.06.2018 07:03,S6,70,38,77,24,21,58
1,21.06.2018 07:03,S15,47,20,11,63,107,76
1,21.06.2018 07:06,S7,95,51,19,76,93,79
1,21.06.2018 07:09,S9,13,27,46,64,66,105
1,21.06.2018 07:09,S16,43,81,64,38,101,47
1,21.06.2018 07:11,S5,107,50,58,59,18,54
1,21.06.2018 07:11,S12,70,94,79,95,50,46
1,21.06.2018 07:12,S21,46,71,39,22,102,61
1,21.06.2018 07:14,S21,11,53,39,91,32,39
1,21.06.2018 07:16,S12,105,30,104,85,41,110
1,21.06.2018 07:18,S5,103,52,38,97,82,61
1,21.06.2018 07:18,S16,83,92,57,86,91,82
1,21.06.2018 07:19,S9,99,46,11,78,61,41
1,21.06.2018 07:21,S7,93,78,38,92,79,64
1,21.06.2018 07:24,S6,105,16,80,87,74,94
1,21.06.2018 07:24,S15,80,79,35,14,45,106
1,21.06.2018 07:26,S3,15,34,103,41,110,38
1,21.06.2018 07:28,S11,70,18,42,31,38,52
1,21.06.2018 07:30,S,63,56,52,109,94,24
1,21.06.2018 07:31,S3,95,55,88,96,26,55
1,21.06.2018 07:33,S6,90,85,109,91,12,25
1,21.06.2018 07:33,S15,59,67,71,38,54,17
1,21.06.2018 07:36,S7,77,79,46,67,55,105
1,21.06.2018 07:39,S9,99,15,77,30,95,41
1,21.06.2018 07:39,S16,101,108,22,96,108,55
1,21.06.2018 07:41,S5,101,105,90,13,32,77
1,21.06.2018 07:41,S12,13,51,79,95,22,43
1,21.06.2018 07:42,S21,25,80,63,89,66,40
1,21.06.2018 07:44,S21,13,88,65,26,12,29
1,21.06.2018 07:46,S12,97,105,102,70,11,94
1,21.06.2018 07:48,S5,33,108,74,14,91,75
1,21.06.2018 07:48,S16,41,20,20,80,27,96
1,21.06.2018 07:49,S9,71,76,67,26,82,79
1,21.06.2018 07:51,S7,91,65,16,70,67,22
1,21.06.2018 07:54,S6,30,10,22,32,98,64
1,21.06.2018 07:54,S15,67,109,103,49,103,20
1,21.06.2018 07:56,S3,64,109,90,49,29,34
1,21.06.2018 07:58,S11,80,107,70,48,80,75
1,21.06.2018 08:01,S3,106,91,49,13,57,73
